login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
carlcastanas,carlcastanas/Capstone-Guide,2024-02-15T06:52:46Z,55,55,,true,false,
carlcastanas,carlcastanas/carlcastanas,2023-01-22T04:10:39Z,36,36,,true,true,
carlcastanas,carlcastanas/Chess-Roadmap,2024-09-18T17:24:38Z,0,0,,true,true,
carlcastanas,carlcastanas/CloneWeb,2023-09-20T05:19:07Z,2,2,Shell,true,true,
carlcastanas,carlcastanas/Code_Memes,2024-08-20T12:47:03Z,10,10,HTML,true,true,
carlcastanas,carlcastanas/coding-interview-university,2021-12-28T19:33:02Z,4,4,,true,false,cc-by-sa-4.0
carlcastanas,carlcastanas/Community-Developer-Roadmap,2022-02-07T11:35:16Z,1,1,,true,true,apache-2.0
carlcastanas,carlcastanas/Computer-Science-Roadmap,2023-08-27T05:39:06Z,32,32,,true,true,
carlcastanas,carlcastanas/Cybersecurity-Roadmap,2023-08-26T04:06:23Z,341,341,,true,true,
carlcastanas,carlcastanas/DDos-Attack,2021-12-19T18:57:18Z,0,0,,true,true,
carlcastanas,carlcastanas/design-resources-for-developers,2022-06-04T13:20:57Z,5,5,,true,true,apache-2.0
carlcastanas,carlcastanas/eco-game,2024-09-22T12:57:19Z,0,0,,true,true,
carlcastanas,carlcastanas/FAANG-Resources-1,2021-12-19T19:15:19Z,2,2,Roff,true,true,apache-2.0
carlcastanas,carlcastanas/freelancing,2024-09-18T14:41:10Z,0,0,,true,true,
carlcastanas,carlcastanas/Google-Maps-Business-Data-Scraper,2023-08-26T15:45:58Z,4,4,Python,true,true,
carlcastanas,carlcastanas/InstaUnfollow-Tracker,2024-09-30T09:55:28Z,2,2,HTML,true,true,
carlcastanas,carlcastanas/IT-Career-Roadmap,2024-10-03T08:48:39Z,0,0,,true,true,
carlcastanas,carlcastanas/IT-curriculum-guide,2023-08-10T03:17:16Z,323,323,,true,true,
carlcastanas,carlcastanas/IT-GUIDE,2024-07-29T11:54:38Z,59,59,,true,true,
carlcastanas,carlcastanas/IT-Resources,2023-09-30T06:43:24Z,41,41,,true,true,
carlcastanas,carlcastanas/java_algorithm,2022-10-17T15:55:36Z,8,8,Java,true,true,
carlcastanas,carlcastanas/Learn-Python-the-Hard,2021-12-20T17:13:40Z,4,4,Python,true,true,apache-2.0
carlcastanas,carlcastanas/Learning-Materials,2021-12-13T11:33:07Z,4,4,JavaScript,true,true,mit
carlcastanas,carlcastanas/material-ui,2022-03-08T02:36:41Z,2,2,,true,false,mit
carlcastanas,carlcastanas/Microsoft-Question-Preparation,2021-12-19T19:45:18Z,4,4,Java,true,true,
carlcastanas,carlcastanas/my-profile-views-counter,2021-12-30T13:45:57Z,1,1,,true,true,
carlcastanas,carlcastanas/Payment-Stripe,2022-12-16T03:11:29Z,6,6,TypeScript,true,true,
carlcastanas,carlcastanas/Pre-Employment-Requirements,2023-08-16T06:40:44Z,38,38,,true,true,
carlcastanas,carlcastanas/Problem-Solving-JavaScript,2022-03-18T16:33:43Z,7,7,JavaScript,true,true,
carlcastanas,carlcastanas/Problem-Solving-Python,2022-03-18T16:29:43Z,9,9,Python,true,true,
carlcastanas,carlcastanas/Property-Property,2022-02-09T23:19:21Z,1,1,C,true,true,
carlcastanas,carlcastanas/Python-Crash-Course,2021-12-20T18:24:56Z,4,4,HTML,true,true,apache-2.0
carlcastanas,carlcastanas/Roadmap-Software-Engineer,2022-03-18T16:22:04Z,5,5,,true,true,
carlcastanas,carlcastanas/Roadmaps,2024-05-31T12:13:06Z,3,3,,true,true,
carlcastanas,carlcastanas/roadmaps-101,2024-06-25T07:25:18Z,6,6,,true,true,
carlcastanas,carlcastanas/SIGN-LANGUAGE-DETECTION,2022-02-03T20:33:25Z,2,2,Jupyter Notebook,true,true,apache-2.0
carlcastanas,carlcastanas/Software-Engineer-Roadmap,2023-11-26T03:22:34Z,45,45,,true,true,
carlcastanas,carlcastanas/Tech,2024-01-30T14:56:54Z,7,7,,true,true,
carlcastanas,carlcastanas/top-github-users,2021-12-27T04:36:21Z,4,4,,true,true,
carlcastanas,carlcastanas/top-github-users-action,2021-12-29T15:30:55Z,1,1,,true,true,mit
carlcastanas,carlcastanas/twitter-algo,2023-04-01T13:59:12Z,2,2,,true,false,agpl-3.0
carlcastanas,carlcastanas/Uber-Question-Preparation,2021-12-19T19:35:02Z,3,3,Java,true,true,
carlcastanas,carlcastanas/Web-Development,2023-11-11T11:25:57Z,33,33,CSS,true,true,
carlcastanas,carlcastanas/web-development-resources,2021-12-13T13:51:04Z,13,13,,true,true,mit
carlcastanas,carlcastanas/Web-Development-Roadmap,2023-08-14T04:20:41Z,114,114,,true,true,
carlcastanas,carlcastanas/youtube-contents,2024-10-18T12:06:02Z,1,1,HTML,true,true,
carlcastanas,carlcastanas/zcodetype,2024-10-04T12:56:21Z,0,0,,true,true,
sergeyshaykhullin,sergeyshaykhullin/argo-helm,2021-03-15T18:04:53Z,4,4,Mustache,true,false,apache-2.0
sergeyshaykhullin,sergeyshaykhullin/bitnami-docker-minio,2021-09-13T18:11:02Z,0,0,Shell,true,true,other
sergeyshaykhullin,sergeyshaykhullin/charts,2021-01-19T11:14:14Z,9,9,Mustache,true,false,other
sergeyshaykhullin,sergeyshaykhullin/charts-1,2021-06-03T12:37:21Z,0,0,Mustache,true,true,mit
sergeyshaykhullin,sergeyshaykhullin/consul-helm,2020-12-07T09:55:53Z,6,6,,true,true,mpl-2.0
sergeyshaykhullin,sergeyshaykhullin/ExchangeToExchangeBinding,2022-09-23T20:42:49Z,0,0,C#,true,true,
sergeyshaykhullin,sergeyshaykhullin/gologin,2021-11-28T13:55:59Z,0,0,JavaScript,true,true,
sergeyshaykhullin,sergeyshaykhullin/Hangfire.Atoms,2020-06-21T11:47:06Z,14,14,C#,true,true,mit
sergeyshaykhullin,sergeyshaykhullin/helm-charts,2020-12-10T19:36:57Z,11,11,Go,true,true,apache-2.0
sergeyshaykhullin,sergeyshaykhullin/helm-charts-1,2021-03-12T18:57:01Z,3,3,Smarty,true,false,apache-2.0
sergeyshaykhullin,sergeyshaykhullin/helm-charts-2,2021-06-04T15:49:27Z,0,0,,true,true,apache-2.0
sergeyshaykhullin,sergeyshaykhullin/hotchocolate,2021-02-06T18:36:03Z,21,21,,true,false,mit
sergeyshaykhullin,sergeyshaykhullin/k8s,2021-07-10T19:36:29Z,0,0,,true,true,apache-2.0
sergeyshaykhullin,sergeyshaykhullin/k8s-wait-for,2020-12-28T10:40:02Z,8,8,,true,true,mit
sergeyshaykhullin,sergeyshaykhullin/MassTransit.Riders.Diagnostics.Demo,2020-10-13T19:23:59Z,8,8,C#,true,true,
sergeyshaykhullin,sergeyshaykhullin/sergeyshaykhullin,2021-01-21T10:44:10Z,28,28,,true,true,
alexey-goloburdin,alexey-goloburdin/botanim-bot,2023-01-21T17:33:31Z,178,178,Python,true,true,
alexey-goloburdin,alexey-goloburdin/debian-set-up-for-django,2019-06-12T11:37:30Z,334,334,,true,true,
alexey-goloburdin,alexey-goloburdin/debian-set-up-for-php,2019-09-02T01:10:59Z,29,29,,true,true,
alexey-goloburdin,alexey-goloburdin/django-clean-template,2019-09-29T16:40:01Z,433,433,Python,true,true,
alexey-goloburdin,alexey-goloburdin/django-orm-vs-json_agg,2024-07-21T23:01:46Z,3,3,Python,true,true,
alexey-goloburdin,alexey-goloburdin/dnd-demo,2022-09-13T20:15:05Z,23,23,JavaScript,true,true,
alexey-goloburdin,alexey-goloburdin/drfjsondemo,2021-11-11T13:06:33Z,3,3,,true,true,
alexey-goloburdin,alexey-goloburdin/eng-ru-dictionary,2024-03-25T07:16:35Z,197,197,,true,true,
alexey-goloburdin,alexey-goloburdin/fix-donate-telegram,2022-11-16T14:28:23Z,10,10,Python,true,true,
alexey-goloburdin,alexey-goloburdin/frontend-project-example,2022-07-10T10:59:03Z,9,9,TypeScript,true,true,
alexey-goloburdin,alexey-goloburdin/knowledge-base,2024-05-17T00:46:05Z,155,155,,true,true,
alexey-goloburdin,alexey-goloburdin/mdBook,2022-05-27T17:00:50Z,3,3,,true,true,mpl-2.0
alexey-goloburdin,alexey-goloburdin/nvim-config,2021-10-03T11:53:22Z,223,223,Vim Script,true,true,
alexey-goloburdin,alexey-goloburdin/pgspecial,2023-01-15T14:55:36Z,0,0,,true,true,bsd-3-clause
alexey-goloburdin,alexey-goloburdin/phoneinput,2021-03-31T13:08:28Z,184,184,JavaScript,true,true,
alexey-goloburdin,alexey-goloburdin/postgres-s3-backuper,2020-05-14T15:01:39Z,39,39,Python,true,true,
alexey-goloburdin,alexey-goloburdin/react-typescript-component-generator,2022-06-29T17:42:59Z,16,16,Python,true,true,
alexey-goloburdin,alexey-goloburdin/schulze-method,2023-01-28T17:05:24Z,0,0,,true,true,apache-2.0
alexey-goloburdin,alexey-goloburdin/solid-todomvc,2022-07-17T11:57:41Z,2,2,,true,true,
alexey-goloburdin,alexey-goloburdin/telegram-finance-bot,2019-12-30T17:21:12Z,421,421,Python,true,true,
alexey-goloburdin,alexey-goloburdin/tests,2022-03-09T14:35:20Z,3,3,,true,true,
alexey-goloburdin,alexey-goloburdin/thanks,2022-02-14T19:18:18Z,252,252,,true,true,
alexey-goloburdin,alexey-goloburdin/tinkoff-analytics,2020-12-16T00:32:02Z,66,66,Python,true,true,
alexey-goloburdin,alexey-goloburdin/typed-python-book,2022-05-27T19:20:14Z,123,123,Handlebars,true,true,other
alexey-goloburdin,alexey-goloburdin/weather,2022-05-25T16:07:39Z,100,100,Python,true,true,
alexey-goloburdin,alexey-goloburdin/youtube-google-sheets-python,2019-08-26T03:20:31Z,43,43,Python,true,true,
alexey-goloburdin,alexey-goloburdin/youtube-python-structures,2019-07-31T14:53:38Z,19,19,Python,true,true,
richardroberti,richardroberti/bmi,2023-02-26T22:20:42Z,10,10,Python,true,true,
richardroberti,richardroberti/richardroberti,2024-01-04T16:35:22Z,0,0,,true,true,
richardroberti,richardroberti/stalk0,2023-02-03T22:33:43Z,13,13,,true,true,
richardroberti,richardroberti/term,2023-05-16T23:02:40Z,1,1,Shell,true,true,
ksemaev,ksemaev/cardano-rest,2020-06-04T14:07:31Z,5,5,Haskell,true,true,apache-2.0
ksemaev,ksemaev/fluent-plugin-rewrite-tag-filter,2019-11-06T09:00:42Z,6,6,,true,false,other
ksemaev,ksemaev/lpic_1-101,2017-08-21T09:32:53Z,426,426,,true,true,
ksemaev,ksemaev/lpic_1-102,2017-08-21T09:42:18Z,177,177,,true,true,
ksemaev,ksemaev/lpic_2-201,2017-09-03T18:37:25Z,114,114,,true,true,
ksemaev,ksemaev/manuals,2017-08-21T09:46:48Z,128,128,,true,true,
ksemaev,ksemaev/neo-cli,2019-07-18T06:45:37Z,4,4,C#,true,false,mit
ksemaev,ksemaev/offtop,2018-03-09T14:06:05Z,26,26,,true,true,
ksemaev,ksemaev/ontology-explorer,2019-06-24T12:13:21Z,6,6,Vue,true,true,
ksemaev,ksemaev/parity,2018-07-07T09:16:10Z,9,9,,true,true,
ksemaev,ksemaev/project_template,2018-03-25T11:32:13Z,83,83,Groovy,true,true,
Robi2810,Robi2810/avs-idz-1,2022-11-08T22:31:06Z,1,1,,true,true,
Robi2810,Robi2810/CampusTravel,2022-03-14T21:15:11Z,1,1,,true,true,
Robi2810,Robi2810/colloc,2023-02-06T15:45:24Z,1,1,Java,true,true,
Robi2810,Robi2810/colloc_na_0,2023-06-19T16:08:14Z,2,2,,true,true,
Robi2810,Robi2810/DeepSpace,2023-05-13T01:31:37Z,1,1,C#,true,true,
Robi2810,Robi2810/Degenerator_Vishnyakova,2023-07-13T16:55:42Z,8,8,Python,true,true,
Robi2810,Robi2810/DZ_4,2023-03-06T13:47:06Z,1,1,C,true,true,
Robi2810,Robi2810/DZ_5,2023-03-06T14:00:58Z,1,1,C,true,true,
Robi2810,Robi2810/IDZ2,2022-11-12T13:14:22Z,1,1,Assembly,true,true,
Robi2810,Robi2810/IDZ3,2022-11-26T12:50:46Z,3,3,Assembly,true,true,
Robi2810,Robi2810/IDZ_1,2022-10-21T22:37:56Z,0,0,Assembly,true,true,
Robi2810,Robi2810/idz_kpo_4,2023-06-06T19:43:54Z,1,1,C#,true,true,
Robi2810,Robi2810/methodologies_hse_2022,2023-01-20T14:52:09Z,1,1,,true,true,
Robi2810,Robi2810/NIS,2023-01-20T14:38:55Z,1,1,,true,true,
Robi2810,Robi2810/OS-idz-4,2023-06-11T20:13:03Z,4,4,C,true,true,
Robi2810,Robi2810/OS_IDZ_1,2023-03-19T11:28:06Z,2,2,C,true,true,
Robi2810,Robi2810/OS_IDZ_1w,2023-03-19T11:27:47Z,1,1,,true,true,
Robi2810,Robi2810/OS_IDZ_2,2023-04-23T16:37:32Z,1,1,C,true,true,
Robi2810,Robi2810/OS_IDZ_3,2023-05-20T10:22:36Z,2,2,C,true,true,
Robi2810,Robi2810/Robi2810,2023-06-22T12:13:42Z,5,5,,true,true,
Robi2810,Robi2810/SD-HW2,2022-12-27T10:50:08Z,2,2,Java,true,true,
Robi2810,Robi2810/sem_OS_10,2023-05-22T11:12:08Z,1,1,C,true,true,
Robi2810,Robi2810/sem_OS_11,2023-05-22T11:07:38Z,2,2,C,true,true,
Robi2810,Robi2810/sem_OS_12,2023-05-22T10:55:22Z,2,2,C,true,true,
Robi2810,Robi2810/Sezam,2024-09-14T22:52:14Z,0,0,,true,true,
Robi2810,Robi2810/Sezam_redesign,2024-09-15T19:10:39Z,0,0,,true,true,
Robi2810,Robi2810/sitepoint-github-profile,2022-12-12T15:30:26Z,1,1,,true,true,
Robi2810,Robi2810/textual,2024-05-26T19:49:30Z,0,0,,true,true,mit
Robi2810,Robi2810/UralKal,2022-04-22T13:08:35Z,3,3,JavaScript,true,true,
Robi2810,Robi2810/WebServiceFront,2024-03-19T07:10:50Z,0,0,,true,true,
Robi2810,Robi2810/WSFA,2024-03-20T09:33:24Z,0,0,HTML,true,true,
yandex,yandex/AFL,2019-10-03T09:32:01Z,2,2,C,true,true,apache-2.0
yandex,yandex/agglomerative_clustering,2020-05-23T18:17:29Z,14,14,C++,true,true,mit
yandex,yandex/alice-skills,2018-05-18T11:49:10Z,177,177,Python,true,true,other
yandex,yandex/aperiodic_grille,2022-06-15T09:33:10Z,4,4,,true,true,
yandex,yandex/argon2,2017-07-06T14:23:03Z,80,80,C++,true,true,bsd-3-clause
yandex,yandex/audio-js,2016-05-25T15:54:26Z,185,185,JavaScript,true,true,other
yandex,yandex/balancer,2012-02-28T08:41:49Z,71,71,C,true,true,
yandex,yandex/browser-extensions,2016-07-28T15:37:15Z,32,32,JavaScript,true,true,
yandex,yandex/burp-molly-pack,2017-11-14T13:37:34Z,137,137,Java,true,true,bsd-3-clause
yandex,yandex/burp-molly-scanner,2017-11-14T16:07:17Z,154,154,Java,true,true,other
yandex,yandex/cggen,2021-03-23T16:53:14Z,21,21,Swift,true,true,other
yandex,yandex/ch-backup,2023-06-22T09:55:49Z,31,31,Python,true,true,mit
yandex,yandex/ch-tools,2023-06-22T09:57:24Z,28,28,Python,true,true,mit
yandex,yandex/cluster_metrics,2020-05-13T12:02:06Z,13,13,C++,true,true,mit
yandex,yandex/CMICOT,2016-12-13T15:19:15Z,42,42,C++,true,true,other
yandex,yandex/csp-reporter,2013-12-01T13:01:25Z,45,45,Python,true,true,gpl-2.0
yandex,yandex/csp-tester,2013-07-13T21:10:13Z,56,56,JavaScript,true,true,gpl-2.0
yandex,yandex/datasync-js,2015-03-25T13:25:36Z,33,33,JavaScript,true,true,other
yandex,yandex/deaf,2015-10-23T14:16:30Z,33,33,Java,true,true,other
yandex,yandex/dep_tregex,2016-07-26T16:32:04Z,21,21,Python,true,true,other
yandex,yandex/django_replicated,2010-02-19T15:24:18Z,352,352,Python,true,false,other
yandex,yandex/dmp,2024-05-31T07:29:22Z,3,3,,true,true,
yandex,yandex/domestic-roots-mobile,2022-12-20T15:17:41Z,1,1,Kotlin,true,true,other
yandex,yandex/domestic-roots-patch,2022-08-04T14:18:34Z,8,8,,true,true,bsd-3-clause
yandex,yandex/dpt,2016-10-19T15:25:03Z,41,41,JavaScript,true,true,other
yandex,yandex/dpt-docs,2017-02-28T12:56:31Z,0,0,JavaScript,true,true,other
yandex,yandex/dpt-scaffold,2017-02-28T12:56:48Z,0,0,JavaScript,true,true,other
yandex,yandex/erater,2016-03-01T13:08:28Z,10,10,Erlang,true,true,bsd-3-clause
yandex,yandex/erateserver,2016-03-01T13:12:05Z,7,7,Erlang,true,true,bsd-3-clause
yandex,yandex/evgen,2022-09-14T09:27:49Z,16,16,TypeScript,true,true,other
yandex,yandex/faster-rnnlm,2015-07-27T12:25:26Z,561,561,C++,true,true,other
yandex,yandex/fastops,2019-07-17T16:50:55Z,88,88,C++,true,true,mit
yandex,yandex/geo-reviews-dataset-2023,2023-09-22T14:20:50Z,77,77,,false,false,mit
